,BCOM,BCOMF1,BCOMF2,BCOMF3,BCOMF4,BCOMF5,BCOMF6,BCOMAG,BCOMEN,BCOMGR,BCOMIN,BCOMLI,BCOMPE,BCOMPR,BCOMSO,BCOMAL,BCOMCO,BCOMCC,BCOMKC,BCOMHG,BCOMCN,BCOMCT,BCOMFC,BCOMGO,BCOMGC,BCOMHO,BCOMPB,BCOMLH,BCOMLC,BCOMNG,BCOMNI,BCOMOJ,BCOMPL,BCOMSI,BCOMSM,BCOMBO,BCOMSY,BCOMSB,BCOMSN,BCOMRB,BCOMWH,BCOMKW,BCOMCL,BCOMZS
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,94.2766,,,,,,,109.6599,81.0621,118.1174,,85.85,,117.1747,99.3134,,,93.3867,105.9581,72.5912,106.8642,81.7977,,,110.5283,83.1746,,85.0793,86.5281,,,,,138.072,,91.4485,114.3648,138.0397,,80.9535,155.8823,,81.0431,
1990-01-03,95.5969,,,,,,,111.3175,83.0504,118.822,,85.7708,,115.7534,102.5207,,,91.6778,107.5232,74.9494,107.2013,82.7073,,,108.9615,85.0339,,85.4724,86.193,,,,,137.2046,,92.4178,115.507,150.7622,,83.0299,156.359,,83.0683,
1990-01-04,94.8401,,,,,,,110.7928,81.1315,118.3001,,86.5907,,117.3681,102.0506,,,94.4925,108.4834,74.1976,107.089,80.6127,,,110.171,82.5042,,88.2239,85.9695,,,,,140.2273,,91.6424,114.5138,150.2321,,80.8159,156.073,,81.4771,
1990-01-05,94.0473,,,,,,,110.575,78.7509,118.2974,,86.8733,,119.3194,101.3477,,,95.3972,106.7472,74.8469,106.8642,79.3679,,,112.2875,78.7098,,89.1848,85.8857,,,,,141.5415,,92.2239,114.6131,150.1261,,78.3142,156.2636,,79.6689,
1990-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-08,92.5591,,,,,,,111.1261,75.1337,119.0743,,87.0502,,118.1303,101.055,,,94.4925,107.0366,76.1114,107.4261,79.4756,,,111.3254,75.1303,,90.1019,85.6623,,,,,139.5702,,95.1801,115.9043,149.0659,,74.5618,156.359,,76.0525,
1990-01-09,92.9046,,,,,,,111.4224,75.9414,118.7371,,86.8017,,118.3166,102.4042,,,96.2014,108.9569,75.3254,107.3137,79.7509,,,111.6545,75.7248,,89.7458,85.4706,,,,,139.2548,,95.1317,115.7553,151.9284,,75.8501,155.1196,,76.7758,
1990-01-10,94.1429,,,,,,,111.1052,78.8128,118.2607,,87.0816,,120.4502,102.3698,,,97.2067,108.6018,73.89,106.9766,78.3745,,,113.8646,78.2544,,89.2946,86.1352,,,,,141.0947,,94.6955,115.1594,154.1549,,79.5025,154.6428,,79.5242,
