,BRL_Close,BRL_Open,BRL_High,BRL_Low,XAU_Close,XAU_Open,XAU_High,XAU_Low,IBOV_Close,IBOV_Open,IBOV_High,IBOV_Low
1990-01-01,,,,,,,,,,,,
1990-01-02,,,,,399.0,,,,0.01,0.01,0.01,0.01
1990-01-03,,,,,395.0,,,,0.01,0.01,0.01,0.01
1990-01-04,,,,,396.5,,,,0.01,0.01,0.01,0.01
1990-01-05,,,,,405.0,,,,0.01,0.01,0.01,0.01
1990-01-06,,,,,,,,,,,,
1990-01-07,,,,,,,,,,,,
1990-01-08,,,,,404.6,,,,0.01,0.01,0.01,0.01
1990-01-09,,,,,403.45,,,,0.01,0.01,0.01,0.01
1990-01-10,,,,,409.1,,,,0.01,0.01,0.01,0.01
1990-01-11,,,,,412.1,,,,0.01,0.01,0.01,0.01
1990-01-12,,,,,416.25,,,,0.01,0.01,0.01,0.01
1990-01-13,,,,,,,,,,,,
1990-01-14,,,,,,,,,,,,
1990-01-15,,,,,415.6,,,,0.01,0.01,0.01,0.01
1990-01-16,,,,,412.75,,,,0.01,0.01,0.01,0.01
1990-01-17,,,,,410.4,,,,0.01,0.01,0.01,0.01
1990-01-18,,,,,413.4,,,,0.01,0.01,0.01,0.01
1990-01-19,,,,,408.65,,,,0.01,0.01,0.01,0.01
1990-01-20,,,,,,,,,,,,
1990-01-21,,,,,,,,,,,,
1990-01-22,,,,,406.0,,,,0.01,0.01,0.01,0.01
1990-01-23,,,,,408.25,,,,0.01,0.01,0.01,0.01
1990-01-24,,,,,420.75,,,,0.01,0.01,0.01,0.01
1990-01-25,,,,,415.65,,,,0.01,0.01,0.01,0.01
1990-01-26,,,,,418.0,,,,0.01,0.01,0.01,0.01
1990-01-27,,,,,,,,,,,,
1990-01-28,,,,,,,,,,,,
1990-01-29,,,,,418.75,,,,0.01,0.01,0.01,0.01
1990-01-30,,,,,418.15,,,,0.01,0.01,0.01,0.01
1990-01-31,,,,,415.05,,,,0.01,0.01,0.01,0.01
1990-02-01,,,,,415.8,,,,0.01,0.01,0.01,0.01
1990-02-02,,,,,417.95,,,,0.01,0.01,0.01,0.01
1990-02-03,,,,,,,,,,,,
1990-02-04,,,,,,,,,,,,
1990-02-05,,,,,423.0,,,,0.01,0.01,0.01,0.01
1990-02-06,,,,,421.05,,,,0.01,0.01,0.01,0.01
1990-02-07,,,,,423.75,,,,0.01,0.01,0.01,0.01
1990-02-08,,,,,418.0,,,,0.01,0.01,0.01,0.01
1990-02-09,,,,,415.5,,,,0.01,0.01,0.01,0.01
1990-02-10,,,,,,,,,,,,
1990-02-11,,,,,,,,,,,,
1990-02-12,,,,,418.85,,,,0.02,0.02,0.02,0.02
1990-02-13,,,,,418.05,,,,0.02,0.02,0.02,0.02
1990-02-14,,,,,414.6,,,,0.02,0.02,0.02,0.02
1990-02-15,,,,,416.65,,,,0.02,0.02,0.02,0.02
1990-02-16,,,,,416.5,,,,0.02,0.02,0.02,0.02
1990-02-17,,,,,,,,,,,,
